
########## OUTPUT ##########
The fifty most used chords in the Top 2000 are:
(G,91.76782)
(C,86.98074)
(D,82.46628)
(A,63.903236)
(E,54.852364)
(F,51.36029)
(Em,37.20516)
(Am,33.29219)
(B,23.326736)
(Dm,20.07482)
(Bm,18.050669)
(Bb,16.533905)
(F#,13.226496)
(F#m,12.385719)
(D7,11.991313)
(E7,10.993721)
(A7,10.654926)
(Am7,9.677315)
(Bm7,9.140049)
(Gm,9.116614)
(G7,8.763174)
(C7,8.174505)
(Cm,7.96508)
(B7,7.7129908)
(Eb,7.1548705)
(Dm7,6.120718)
(Em7,5.507609)
(C#m,5.4589343)
(Cmaj7,4.530143)
(G#,4.525)
(G/B,4.118513)
(Ab,3.7859151)
(Gm7,3.6625886)
(Fmaj7,3.5617425)
(C#m7,3.3340006)
(C#,3.123528)
(G#m,3.0001915)
(Fm,2.8316665)
(Fm7,2.7958333)
(Db,2.7693498)
(Cm7,2.7420254)
(F#m7,2.676838)
(Dmaj7,2.572619)
(G/D,2.2050068)
(Asus2,2.083247)
(G6,1.8488636)
(Bbm,1.8398694)
(Asus4,1.8352544)
(D#m,1.7704545)
(C/E,1.7261214)
########## OUTPUT ##########

